nct_id,results_due,has_results,pending_results,any_results,overdue,reported_late,available_completion_date,due_date,first_results_submission,sponsor,sponsor_type,sponsor_class,industry_collab,us_gov_collab,phase_cat,phase,terminated,start_year,full_completion,contains_drug,contains_biological,contains_device,contains_diagnostic,contains_radiation,contains_combi_product,contains_genetic,contains_us_loc,act_flag,included_pact_flag,sponsored_trials
NCT01591902,1,0,0,0,1,0,2018-05-31,2019-05-31,,Theratechnologies,Industry,1,0,0,4.0,Phase 4,1,2012.0,1,1,0,0,0,0,0,0,0,0,1,7
NCT01594827,1,1,0,1,0,0,2017-12-30,2018-12-30,2018-09-17,Johns Hopkins University,Other,0,0,0,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,1143
NCT01596127,1,1,0,1,0,0,2017-03-23,2018-03-23,2018-02-28,M.D. Anderson Cancer Center,Other,0,0,0,0.0,Phase 1/Phase 2,1,2013.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT01597778,0,0,0,0,0,0,2020-06-30,2021-06-30,,Medical College of Wisconsin,Other,0,0,1,3.0,Phase 3,0,2012.0,0,0,1,0,0,0,0,0,0,0,1,315
NCT01598753,1,1,0,1,0,0,2018-07-31,2019-07-31,2019-06-03,University of Washington,Other,0,0,0,3.0,Phase 3,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,910
NCT01600105,1,1,0,1,0,0,2017-07-31,2018-07-31,2018-07-05,Bachir Taouli,Other,0,0,0,4.0,Phase 4,0,2010.0,1,1,0,0,0,0,0,0,0,0,1,1
NCT01601652,0,0,0,0,0,0,2021-11-30,2022-11-30,,Arthur J De Lorimier,Other,0,0,0,0.0,Phase 1/Phase 2,0,2011.0,0,1,0,0,0,0,0,0,0,0,1,1
NCT01601847,1,1,0,1,0,0,2017-03-12,2018-03-12,2018-03-11,Case Western Reserve University,Other,0,0,1,4.0,Phase 4,0,2013.0,1,1,0,0,0,0,0,0,0,0,1,89
NCT01620216,0,0,0,0,0,0,2019-03-30,2020-03-30,,OHSU Knight Cancer Institute,Other,0,0,1,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,163
NCT01622868,0,0,0,0,0,0,2019-08-31,2020-08-31,,National Cancer Institute (NCI),NIH,2,0,0,1.0,Phase 2,0,2012.0,0,1,0,0,0,1,0,0,1,0,1,3004
NCT01624805,0,0,0,0,0,0,2019-06-30,2020-06-30,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2012.0,1,1,1,0,0,0,0,0,0,0,1,2066
NCT01640951,1,1,0,1,0,0,2017-05-04,2018-05-04,2018-04-23,Novartis Pharmaceuticals,Industry,1,0,0,3.0,Phase 3,0,2012.0,1,1,0,0,0,0,0,0,1,0,1,1895
NCT01644656,0,0,0,0,0,0,2018-09-30,2019-09-30,,VA Connecticut Healthcare System,U.S. Fed,2,0,0,5.0,,0,2012.0,1,0,0,1,0,0,0,0,0,0,1,36
NCT01650194,1,1,0,1,0,0,2018-01-04,2019-01-04,2018-12-13,"Astellas Pharma Global Development, Inc.",Industry,1,1,0,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,135
NCT01655719,1,1,0,1,0,0,2017-03-31,2018-03-31,2017-08-21,University of Michigan,Other,0,0,1,1.0,Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,934
NCT01676818,0,0,0,0,0,0,2020-08-09,2021-08-09,,University of Southern California,Other,0,0,1,1.0,Phase 2,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,483
NCT01678586,0,0,0,0,0,0,2019-08-31,2020-08-31,,Massachusetts General Hospital,Other,0,0,1,5.0,,0,2012.0,0,1,0,0,0,0,0,0,0,0,1,1699
NCT01721954,1,0,1,1,0,1,2017-12-31,2018-12-31,2019-08-12,Sirtex Medical,Industry,1,0,0,3.0,Phase 3,0,2013.0,0,1,0,1,0,0,0,0,1,0,1,6
NCT01729091,0,0,0,0,0,0,2019-06-28,2020-06-28,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2013.0,1,1,1,0,0,0,0,0,0,0,1,2066
NCT01734850,0,0,0,0,0,0,2017-09-30,2018-09-30,,"Calimmune, Inc.",Industry,1,0,0,0.0,Phase 1/Phase 2,0,2013.0,1,1,1,0,0,0,0,0,0,0,1,2
NCT01736267,0,0,0,0,0,0,2022-11-30,2023-11-30,,Massachusetts Eye and Ear Infirmary,Other,0,0,0,5.0,,0,2012.0,0,0,0,1,0,0,0,0,0,0,1,50
NCT01750190,0,0,0,0,0,0,2018-09-20,2019-09-20,,FibroGen,Industry,1,1,0,3.0,Phase 3,0,2012.0,1,1,0,0,0,0,0,0,1,0,1,31
NCT01752426,1,0,1,1,0,1,2018-08-09,2019-08-09,2019-08-27,M.D. Anderson Cancer Center,Other,0,1,0,0.0,Phase 1/Phase 2,0,2012.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT01759771,0,0,0,0,0,0,2018-12-31,2019-12-31,,VA Office of Research and Development,U.S. Fed,2,0,0,1.0,Phase 2,0,2013.0,0,1,0,0,0,0,0,0,0,0,1,1012
NCT01766219,1,1,0,1,0,0,2018-04-30,2019-04-30,2019-04-02,Wake Forest University Health Sciences,Other,0,0,1,0.0,Phase 1/Phase 2,0,2013.0,1,1,0,0,0,0,0,0,0,0,1,616
NCT01767194,1,0,1,1,0,0,2018-06-30,2019-06-30,2019-06-24,National Cancer Institute (NCI),NIH,2,0,0,1.0,Phase 2,0,2013.0,1,1,1,0,0,0,0,0,1,0,1,3004
NCT01771731,1,0,1,1,0,1,2017-05-12,2018-05-12,2019-09-03,"University of California, San Francisco",Other,0,0,1,0.0,Phase 1/Phase 2,0,2014.0,1,1,0,0,0,0,0,0,0,0,1,1443
NCT01773278,0,0,0,0,0,0,2018-12-31,2019-12-31,,"University of Colorado, Denver",Other,0,0,0,1.0,Phase 2,0,2008.0,1,1,0,0,0,0,0,0,0,0,1,882
NCT01774019,0,0,0,0,0,0,2020-07-31,2021-07-31,,Boston Scientific Corporation,Industry,1,0,0,4.0,Phase 4,0,2013.0,0,0,0,1,0,0,0,0,1,0,1,340
NCT01783041,0,0,0,0,0,0,2019-12-31,2020-12-31,,Montefiore Medical Center,Other,0,0,0,2.0,Phase 2/Phase 3,0,2013.0,0,1,0,0,0,0,0,0,0,0,1,240
NCT01783535,0,0,0,0,0,0,2020-06-30,2021-06-30,,St. Jude Children's Research Hospital,Other,0,0,0,1.0,Phase 2,0,2013.0,0,1,0,0,0,1,0,0,0,0,1,302
NCT01785771,0,0,0,0,0,0,2018-01-31,2019-01-31,,Intarcia Therapeutics,Industry,1,0,0,3.0,Phase 3,1,2013.0,1,1,0,0,0,0,0,0,0,0,1,21
NCT01786343,0,0,0,0,0,0,2019-05-06,2020-05-06,,M.D. Anderson Cancer Center,Other,0,0,0,1.0,Phase 2,0,2013.0,1,1,0,0,0,0,0,0,0,0,1,2066
NCT01787487,0,0,0,0,0,0,2020-07-26,2021-07-26,,M.D. Anderson Cancer Center,Other,0,0,1,1.0,Phase 2,0,2013.0,0,1,0,0,0,0,0,0,0,0,1,2066
